time, occupancy 
Thu Apr 20 13:04:49 2023, 3
Thu Apr 20 13:04:49 2023, 3
Thu Apr 20 13:04:49 2023, 3
Thu Apr 20 13:04:49 2023, 3
Thu Apr 20 13:04:49 2023, 3
Thu Apr 20 13:04:49 2023, 3
Thu Apr 20 13:04:49 2023, 3
Thu Apr 20 13:04:49 2023, 3
Thu Apr 20 13:04:49 2023, 3
Thu Apr 20 13:04:50 2023, 4
Thu Apr 20 13:04:50 2023, 2
Thu Apr 20 13:04:50 2023, 2
Thu Apr 20 13:04:50 2023, 2
Thu Apr 20 13:04:50 2023, 2
Thu Apr 20 13:04:50 2023, 2
Thu Apr 20 13:04:50 2023, 2
Thu Apr 20 13:04:50 2023, 2
Thu Apr 20 13:04:50 2023, 2
Thu Apr 20 13:04:50 2023, 2
Thu Apr 20 13:04:50 2023, 2
Thu Apr 20 13:04:50 2023, 3
Thu Apr 20 13:04:50 2023, 3
Thu Apr 20 13:04:50 2023, 3
Thu Apr 20 13:04:51 2023, 3
Thu Apr 20 13:04:51 2023, 3
Thu Apr 20 13:04:51 2023, 3
Thu Apr 20 13:04:51 2023, 3
Thu Apr 20 13:04:51 2023, 3
Thu Apr 20 13:04:51 2023, 3
Thu Apr 20 13:04:51 2023, 3
Thu Apr 20 13:04:51 2023, 4
Thu Apr 20 13:04:51 2023, 3
Thu Apr 20 13:04:51 2023, 3
Thu Apr 20 13:04:51 2023, 3
Thu Apr 20 13:04:51 2023, 3
Thu Apr 20 13:04:51 2023, 3
Thu Apr 20 13:04:51 2023, 3
Thu Apr 20 13:04:51 2023, 4
Thu Apr 20 13:04:52 2023, 4
Thu Apr 20 13:04:52 2023, 3
Thu Apr 20 13:04:52 2023, 3
Thu Apr 20 13:04:52 2023, 3
Thu Apr 20 13:04:52 2023, 3
Thu Apr 20 13:04:52 2023, 3
Thu Apr 20 13:04:52 2023, 3
Thu Apr 20 13:04:52 2023, 3
Thu Apr 20 13:04:52 2023, 3
Thu Apr 20 13:04:52 2023, 3
Thu Apr 20 13:04:52 2023, 3
Thu Apr 20 13:04:52 2023, 3
Thu Apr 20 13:04:52 2023, 3
Thu Apr 20 13:04:52 2023, 3
Thu Apr 20 13:04:52 2023, 3
Thu Apr 20 13:04:53 2023, 3
Thu Apr 20 13:04:53 2023, 3
Thu Apr 20 13:04:53 2023, 3
Thu Apr 20 13:04:53 2023, 3
Thu Apr 20 13:04:53 2023, 3
Thu Apr 20 13:04:53 2023, 3
Thu Apr 20 13:04:53 2023, 3
Thu Apr 20 13:04:53 2023, 3
Thu Apr 20 13:04:53 2023, 3
Thu Apr 20 13:04:53 2023, 3
Thu Apr 20 13:04:53 2023, 3
Thu Apr 20 13:04:53 2023, 3
Thu Apr 20 13:04:53 2023, 3
Thu Apr 20 13:04:53 2023, 3
Thu Apr 20 13:04:53 2023, 3
Thu Apr 20 13:04:54 2023, 3
Thu Apr 20 13:04:54 2023, 3
Thu Apr 20 13:04:54 2023, 3
Thu Apr 20 13:04:54 2023, 3
Thu Apr 20 13:04:54 2023, 3
Thu Apr 20 13:04:54 2023, 3
Thu Apr 20 13:04:54 2023, 3
Thu Apr 20 13:04:54 2023, 3
Thu Apr 20 13:04:54 2023, 3
Thu Apr 20 13:04:54 2023, 3
Thu Apr 20 13:04:54 2023, 3
Thu Apr 20 13:04:54 2023, 3
Thu Apr 20 13:04:54 2023, 3
Thu Apr 20 13:04:54 2023, 3
Thu Apr 20 13:04:54 2023, 3
Thu Apr 20 13:04:55 2023, 3
Thu Apr 20 13:04:55 2023, 3
Thu Apr 20 13:04:55 2023, 3
Thu Apr 20 13:04:55 2023, 3
Thu Apr 20 13:04:55 2023, 3
Thu Apr 20 13:04:55 2023, 3
Thu Apr 20 13:04:55 2023, 3
Thu Apr 20 13:04:55 2023, 3
Thu Apr 20 13:04:55 2023, 3
Thu Apr 20 13:04:55 2023, 3
Thu Apr 20 13:04:55 2023, 3
Thu Apr 20 13:04:55 2023, 3
Thu Apr 20 13:04:55 2023, 3
Thu Apr 20 13:04:55 2023, 3
Thu Apr 20 13:04:56 2023, 3
Thu Apr 20 13:04:56 2023, 3
Thu Apr 20 13:04:56 2023, 3
Thu Apr 20 13:04:56 2023, 3
Thu Apr 20 13:04:56 2023, 3
Thu Apr 20 13:04:56 2023, 3
Thu Apr 20 13:04:56 2023, 3
Thu Apr 20 13:04:56 2023, 3
Thu Apr 20 13:04:56 2023, 3
Thu Apr 20 13:04:56 2023, 3
Thu Apr 20 13:04:56 2023, 3
Thu Apr 20 13:04:56 2023, 3
Thu Apr 20 13:04:56 2023, 3
Thu Apr 20 13:04:56 2023, 3
Thu Apr 20 13:04:56 2023, 3
Thu Apr 20 13:04:57 2023, 3
Thu Apr 20 13:04:57 2023, 3
Thu Apr 20 13:04:57 2023, 3
Thu Apr 20 13:04:57 2023, 3
Thu Apr 20 13:04:57 2023, 3
Thu Apr 20 13:04:57 2023, 3
Thu Apr 20 13:04:57 2023, 3
Thu Apr 20 13:04:57 2023, 3
Thu Apr 20 13:04:57 2023, 3
Thu Apr 20 13:04:57 2023, 3
Thu Apr 20 13:04:57 2023, 3
Thu Apr 20 13:04:57 2023, 3
Thu Apr 20 13:04:57 2023, 3
Thu Apr 20 13:04:57 2023, 3
Thu Apr 20 13:04:58 2023, 3
Thu Apr 20 13:04:58 2023, 3
Thu Apr 20 13:04:58 2023, 3
Thu Apr 20 13:04:58 2023, 3
Thu Apr 20 13:04:58 2023, 3
Thu Apr 20 13:04:58 2023, 3
Thu Apr 20 13:04:58 2023, 3
Thu Apr 20 13:04:58 2023, 3
Thu Apr 20 13:04:58 2023, 3
Thu Apr 20 13:04:58 2023, 3
Thu Apr 20 13:04:58 2023, 3
Thu Apr 20 13:04:58 2023, 3
Thu Apr 20 13:04:58 2023, 3
Thu Apr 20 13:04:58 2023, 3
Thu Apr 20 13:04:58 2023, 3
Thu Apr 20 13:04:59 2023, 3
Thu Apr 20 13:04:59 2023, 3
Thu Apr 20 13:04:59 2023, 3
Thu Apr 20 13:04:59 2023, 3
Thu Apr 20 13:04:59 2023, 3
Thu Apr 20 13:04:59 2023, 3
Thu Apr 20 13:04:59 2023, 4
Thu Apr 20 13:04:59 2023, 3
Thu Apr 20 13:04:59 2023, 3
Thu Apr 20 13:04:59 2023, 3
Thu Apr 20 13:04:59 2023, 3
Thu Apr 20 13:04:59 2023, 3
Thu Apr 20 13:04:59 2023, 3
Thu Apr 20 13:04:59 2023, 3
Thu Apr 20 13:04:59 2023, 3
Thu Apr 20 13:05:00 2023, 3
Thu Apr 20 13:05:00 2023, 3
Thu Apr 20 13:05:00 2023, 3
Thu Apr 20 13:05:00 2023, 3
Thu Apr 20 13:05:00 2023, 3
Thu Apr 20 13:05:00 2023, 3
Thu Apr 20 13:05:00 2023, 3
Thu Apr 20 13:05:00 2023, 3
Thu Apr 20 13:05:00 2023, 3
Thu Apr 20 13:05:00 2023, 3
Thu Apr 20 13:05:00 2023, 3
Thu Apr 20 13:05:00 2023, 3
Thu Apr 20 13:05:00 2023, 4
Thu Apr 20 13:05:00 2023, 3
Thu Apr 20 13:05:01 2023, 3
Thu Apr 20 13:05:01 2023, 3
Thu Apr 20 13:05:01 2023, 3
Thu Apr 20 13:05:01 2023, 3
Thu Apr 20 13:05:01 2023, 3
Thu Apr 20 13:05:01 2023, 3
Thu Apr 20 13:05:01 2023, 3
Thu Apr 20 13:05:01 2023, 3
Thu Apr 20 13:05:01 2023, 3
Thu Apr 20 13:05:01 2023, 3
Thu Apr 20 13:05:01 2023, 3
Thu Apr 20 13:05:01 2023, 3
Thu Apr 20 13:05:01 2023, 3
Thu Apr 20 13:05:01 2023, 3
Thu Apr 20 13:05:01 2023, 3
Thu Apr 20 13:05:02 2023, 3
Thu Apr 20 13:05:02 2023, 3
Thu Apr 20 13:05:02 2023, 3
Thu Apr 20 13:05:02 2023, 4
Thu Apr 20 13:05:02 2023, 4
Thu Apr 20 13:05:02 2023, 4
Thu Apr 20 13:05:02 2023, 4
Thu Apr 20 13:05:02 2023, 4
Thu Apr 20 13:05:02 2023, 4
Thu Apr 20 13:05:02 2023, 4
Thu Apr 20 13:05:02 2023, 4
Thu Apr 20 13:05:02 2023, 4
Thu Apr 20 13:05:02 2023, 4
Thu Apr 20 13:05:03 2023, 4
Thu Apr 20 13:05:03 2023, 4
Thu Apr 20 13:05:03 2023, 4
Thu Apr 20 13:05:03 2023, 4
Thu Apr 20 13:05:03 2023, 4
Thu Apr 20 13:05:03 2023, 4
Thu Apr 20 13:05:03 2023, 5
Thu Apr 20 13:05:03 2023, 4
Thu Apr 20 13:05:03 2023, 4
Thu Apr 20 13:05:03 2023, 5
Thu Apr 20 13:05:03 2023, 4
Thu Apr 20 13:05:03 2023, 4
Thu Apr 20 13:05:03 2023, 4
Thu Apr 20 13:05:03 2023, 4
Thu Apr 20 13:05:03 2023, 4
Thu Apr 20 13:05:04 2023, 4
Thu Apr 20 13:05:04 2023, 5
Thu Apr 20 13:05:04 2023, 5
Thu Apr 20 13:05:04 2023, 5
Thu Apr 20 13:05:04 2023, 5
Thu Apr 20 13:05:04 2023, 4
Thu Apr 20 13:05:04 2023, 4
Thu Apr 20 13:05:04 2023, 4
Thu Apr 20 13:05:04 2023, 4
Thu Apr 20 13:05:04 2023, 4
Thu Apr 20 13:05:04 2023, 4
Thu Apr 20 13:05:04 2023, 4
Thu Apr 20 13:05:04 2023, 4
Thu Apr 20 13:05:04 2023, 4
Thu Apr 20 13:05:04 2023, 4
Thu Apr 20 13:05:05 2023, 4
